nominal,IDO1,TDO2,M,D
0.5,0.43462897526501765,0.43109540636042404,0.3992932862190813,0.5371024734982333
0.55,0.4840989399293286,0.4911660777385159,0.4381625441696113,0.5936395759717314
0.6000000000000001,0.5441696113074205,0.5371024734982333,0.5053003533568905,0.6219081272084805
0.6500000000000001,0.5759717314487632,0.5618374558303887,0.5865724381625441,0.6749116607773852
0.7000000000000002,0.6537102473498233,0.6607773851590106,0.6713780918727915,0.7067137809187279
0.7500000000000002,0.6890459363957597,0.6996466431095406,0.6925795053003534,0.7809187279151943
0.8000000000000003,0.7526501766784452,0.7526501766784452,0.7208480565371025,0.8268551236749117
0.8500000000000003,0.8021201413427562,0.8409893992932862,0.8056537102473498,0.8904593639575972
0.9000000000000004,0.8621908127208481,0.8939929328621908,0.8586572438162544,0.9469964664310954
0.9500000000000004,0.9045936395759717,0.9222614840989399,0.9081272084805654,0.9646643109540636
