Rank,Drug,Pred_pIC50,P_active,Tanimoto_NN,Dock_kcalmol,Known_target,First_approval
1,Cabozantinib,7.890346996312799,0.7786666666666667,0.4305555555555556,-8.33367,,2012.0
2,Tolvaptan,7.235540621047583,0.7191666666666666,0.3292682926829268,-8.64317,Vasopressin V2 receptor antagonist,2009.0
3,Lemborexant,7.0243293033896235,0.621,0.3186813186813186,-8.53656,Orexin receptor 1 antagonist,2020.0
4,Rimonabant,6.975492346831687,0.5805,0.3164556962025316,-7.78846,Cannabinoid CB1 receptor antagonist,2006.0
5,Ensartinib,7.300677788319431,0.7195,0.3103448275862069,-9.421,ALK tyrosine kinase receptor inhibitor,2024.0
6,Moricizine,6.885735082813039,0.587,0.3205128205128205,-7.64147,,1990.0
7,Conivaptan,7.100034836660809,0.538,0.3033707865168539,-8.88444,Vasopressin V2 receptor antagonist,2005.0
8,Roflumilast,7.069111413424616,0.5725,0.3026315789473684,-7.22492,,2010.0
9,Ripretinib,6.954504356543387,0.6985,0.3012048192771084,-8.6059,Stem cell growth factor receptor inhibitor,2020.0
10,Glasdegib,6.828675069373506,0.6283333333333333,0.3103448275862069,-8.51993,Smoothened homolog antagonist,2018.0
11,Larotrectinib,6.937804797677477,0.6436904761904761,0.3010752688172043,,,2018.0
16,Gefitinib,6.611909174586633,0.64,0.3146067415730337,,Epidermal growth factor receptor erbB1 inhibitor,2003.0
18,Trametinib,6.6160334627116875,0.6725,0.3118279569892473,,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,2013.0
